fid,NO,NAME,Признак 1,Признак 2,Признак 3,Признак 4,Признак 5,Признак 6,Признак 7,Признак 8,Признак 9,Признак 10,Признак 11,Признак 12,Признак 13,Признак 14,Признак 15,Признак 16,Признак 17,Признак 18,Признак 19,Признак 20,Признак 21,Признак 22,x,y
1,1010101,Арбат,244,81,2,155,6,0,0,0,0,0,0,31,14634,3870,1519,1650,1794,10,156.408,5128,11.47,0.339489305140708,4181467,7500610
2,1010102,Арбат,162,70,0,87,3,2,90,0,0,90,0,32,9373,3485,787,1164,1071,9.0910056076937,391.5,4450,2.736,0.221212434162966,4181762,7501171
3,1010103,Арбат,754,208,16,528,2,0,50,0,0,50,0,248,22828,3033,2297,6012,3349,5.63898653429809,4983.55,8265,0.672,0.252782379958562,4180437,7500471
4,1010104,Арбат,342,109,19,210,3,1,20,0,0,20,0,179,14025,2704,1366,3126,1907,6.03107556490713,3287.25,3389,0.58,0.285639393372028,4179491,7501390
5,1010105,Арбат,245,66,10,166,3,0,0,0,0,0,0,136,12650,2744,1270,2286,1651,6.28595593076125,2565,3544,0.644,0.270256997871992,4180315,7501167
6,1010106,Арбат,463,18,6,435,4,0,0,0,0,0,0,57,11510,3807,764,3120,1284,7.67488163214644,1982.128,2940,0.648,0.260862781301096,4178556,7499809
7,1010107,Арбат,411,75,3,330,3,0,100,0,0,100,0,120,18812,5782,1641,3186,2272,9.34282102484805,4492.158,4620,0.506,0.249337204205634,4178511,7500526
8,1010108,Арбат,709,271,19,417,2,0,0,0,0,0,0,328,25722,4811,2448,6222,3485,8.44851566122776,3475.356,10085,1.003,0.256999152529624,4179439,7500153
9,1010109,Арбат,205,32,0,172,0,1,0,0,0,0,0,30,8829,2709,785,1410,1020,6.01185103865358,1298.768,1663,0.785,0.34438889204016,4178653,7501160
10,1010201,Басманный,380,246,6,128,0,0,100,0,0,100,0,54,8837,1750,747,2604,1281,7.43615614755351,2274.75,1484,0.563,0.340804788826073,4192000,7506262
11,1010202,Басманный,556,389,2,165,0,0,0,0,0,0,0,133,14495,36278,0,4134,689,6.27668343800394,3885,4022,0.177,0.0871379790059441,4191195,7504984
12,1010203,Басманный,70,18,0,52,0,0,0,0,0,0,0,113,11061,1841,1354,1098,1537,5.81305391445204,6496,2055,0.237,0.17974505905742,4191768,7504419
13,1010204,Басманный,622,282,4,336,0,0,0,0,0,0,0,42,15175,2110,1514,3984,2178,8.46598875321315,5691.75,2650,0.383,0.261096292744328,4192795,7505974
14,1010205,Басманный,454,277,2,175,0,0,0,0,0,0,0,151,16072,1773,1778,3630,2383,5.28124398332743,7938,1963,0.3,0.240682759317241,4192519,7505120
15,1010206,Басманный,380,183,0,197,0,0,0,0,0,0,0,50,5451,1244,271,2580,701,5.53220359095377,1714.5,1136,0.409,0.245921768110858,4191824,7505659
16,1010207,Басманный,449,121,6,322,0,0,0,0,0,0,0,113,6399,2189,140,3372,702,7.135901458835,585,2006,1.2,0.270937861829409,4191357,7506047
17,1010208,Басманный,436,162,10,264,0,0,0,0,0,0,0,155,9742,10965,0,3546,591,6.12348041291092,3442.632,1846,0.172,0.111749125293649,4190355,7505892
18,1010209,Басманный,241,88,5,148,0,0,0,0,0,0,0,101,6512,2169,382,2052,724,5.81456394394517,141.5,2798,5.117,0.246300391222997,4190963,7506436
19,1010210,Басманный,1108,269,8,831,0,0,940,0,0,940,0,87,17884,33528,0,7170,2135,8.62224711546811,7157.022,5975,0.298,0.162579684986821,4189518,7505439
20,1010211,Басманный,443,309,2,130,0,2,100,100,0,0,0,98,15254,33154,0,3246,641,6.96480158684734,445.5,5265,1.439,0.112249365204448,4190237,7503571
21,1010212,Басманный,392,123,1,268,0,0,100,0,0,100,0,83,8835,36414,0,2850,575,6.08031696247192,3757.5,1826,0.153,0.102982000537297,4190725,7505407
22,1010213,Басманный,616,201,17,398,0,0,0,0,0,0,0,110,14886,2847,1280,4356,2006,8.45272765049602,3163.5,4631,0.634,0.257360959651036,4189315,7504412
23,1010214,Басманный,226,52,4,166,2,2,0,0,0,0,0,16,6993,1087,742,1452,984,7.30546955602976,2655,3685,0.371,0.155205047318612,4186995,7503789
24,1010215,Басманный,265,73,8,184,0,0,0,0,0,0,0,113,8108,1006,806,2268,1184,5.46666657,672.75,3803,1.76,0.264536669831872,4186231,7503776
25,1010216,Басманный,282,103,3,176,0,0,0,0,0,0,0,177,12018,2882,1064,2754,1523,7.29678767582749,2057.272,3053,0.74,0.298027189159403,4189517,7503545
26,1010217,Басманный,787,99,2,685,0,1,100,0,0,100,0,109,19725,1842,2084,5376,3080,6.21445940577121,5916.636,4215,0.521,0.303998288134315,4188193,7503388
27,1010218,Басманный,376,204,2,170,0,0,0,0,0,0,0,64,10961,1622,1116,2640,1556,6.85393475205796,3159,2096,0.493,0.296098953377736,4188905,7503711
28,1010219,Басманный,1125,717,10,398,0,0,250,0,0,250,0,192,28503,40158,0,7902,1567,9.65931104628357,9463.566,5051,0.166,0.107960513597169,4190303,7504560
29,1010220,Басманный,408,45,4,359,0,0,0,0,0,0,0,163,14665,30117,0,3426,571,6.67288011549849,1785.022,4171,0.32,0.0958693570977407,4189675,7502627
30,1010221,Басманный,592,106,4,480,0,2,0,0,0,0,0,63,20503,2384,2365,3930,3020,8.67085006807683,1616.522,6476,1.868,0.373184033358204,4188423,7502525
31,1010222,Басманный,555,101,4,450,0,0,0,0,0,0,0,57,15147,2004,1578,3672,2190,6.32181565254167,1136.25,3914,1.927,0.433641898915895,4187761,7503960
32,1010223,Басманный,312,115,0,194,0,3,0,0,0,0,0,138,15056,2534,1637,2700,2087,6.02905657635291,1281.408,3527,1.629,0.434031388351404,4188577,7501276
33,1010224,Басманный,300,169,0,131,0,0,100,0,0,100,0,7,7292,2758,449,1842,856,9.26481170524109,1192.5,3141,0.718,0.197530864197531,4187465,7502657
34,1010225,Басманный,288,174,3,97,14,0,0,0,0,0,0,9,14983,3892,1552,1782,1849,10,204.75,4775,9.031,0.371303780310257,4187761,7501660
35,1010226,Басманный,373,106,7,257,3,0,0,0,0,0,0,88,10436,2562,851,2766,1312,9.84400195984957,1095.75,3209,1.197,0.304779603925896,4185595,7503432
36,1010227,Басманный,698,137,11,546,4,0,0,0,0,0,0,221,18897,3494,1648,5514,2567,6.78950459330233,3114.066,7140,0.824,0.25033971889785,4185269,7502642
37,1010228,Басманный,349,88,3,258,0,0,80,0,0,80,0,73,10458,2315,935,2532,1437,10,774.066,5682,1.856,0.222581367662598,4184628,7502186
38,1010229,Басманный,400,146,4,248,2,0,0,0,0,0,0,103,12366,2859,1082,3018,1585,7.73319003142899,2364.566,6640,0.67,0.176021809379819,4185032,7501535
39,1010230,Басманный,246,56,7,181,0,2,0,0,0,0,0,120,8449,1092,860,2196,1226,5.49700158026779,830.316,2135,1.477,0.413446661333902,4185630,7501850
40,1010231,Басманный,206,90,8,105,2,1,0,0,0,0,0,210,12460,2136,1305,2496,1721,5.5,1650.022,3183,1.043,0.356091902747391,4185898,7501353
41,1010232,Басманный,306,76,0,230,0,0,50,0,0,50,0,156,12279,3476,1005,2772,1517,6.41463518957952,2322,2902,0.653,0.290390505359877,4186041,7502752
42,1010233,Басманный,469,156,6,307,0,0,84,0,0,84,0,254,15908,2463,1518,4338,2325,6.30508384108432,3660.75,4274,0.635,0.29301490280097,4186585,7503189
43,1010234,Басманный,495,105,8,377,3,2,0,0,0,0,0,171,14062,1900,1361,3996,2027,7.59990029734683,3274.654,3785,0.619,0.287124553129658,4186997,7502566
44,1010235,Басманный,341,130,0,211,0,0,0,0,0,0,0,70,8265,730,845,2466,1256,6.9637093332744,1818,2575,0.691,0.285909401320282,4187102,7501771
45,1010236,Басманный,403,138,4,261,0,0,40,0,0,40,0,109,8659,2761,471,3072,1023,6.25424417904552,1189.544,2657,0.86,0.265953021725476,4186564,7501358
46,1010237,Басманный,409,127,7,275,0,0,50,0,0,50,0,143,11129,2734,847,3312,1449,7.23360816568787,2256,2823,0.642,0.285292380389841,4186436,7502050
47,1010238,Басманный,737,194,9,534,0,0,100,0,0,100,0,147,17114,2593,1536,5304,2520,6.44362820628246,1669.5,6445,1.509,0.310555179000555,4188607,7504825
48,1010301,Замоскворечье,272,126,9,135,0,2,0,0,0,0,0,82,9541,2260,860,2124,1214,6.68594006667344,1350,2493,0.899,0.315899037210513,4185243,7499288
49,1010302,Замоскворечье,345,92,9,244,0,0,0,0,0,0,0,191,11646,1820,1102,3216,1638,6.25451729717803,2795.272,2266,0.586,0.323634058789964,4185578,7498477
50,1010303,Замоскворечье,448,132,5,311,0,0,0,0,0,0,0,79,10151,2260,788,3162,1315,6.41989615730902,1881,2394,0.699,0.307602339181287,4185764,7497715
51,1010304,Замоскворечье,384,100,0,284,0,0,2054,0,0,2054,0,35,9782,1903,894,2514,3367,5.5,319.124,2770,10.551,1.0899530093321,4186094,7497151
52,1010305,Замоскворечье,510,161,13,333,3,0,166,0,0,166,0,126,15970,2691,1577,3816,2379,9.9427718534505,1620.066,6583,1.468,0.290013514459106,4184057,7499107
53,1010306,Замоскворечье,537,230,14,292,0,1,270,0,0,270,0,167,13217,1731,1210,4224,2184,8.09325158218009,2705.522,4751,0.807,0.292897948936515,4184711,7498980
54,1010307,Замоскворечье,518,124,7,385,2,0,643,0,0,643,0,93,7628,1390,429,3666,1683,5.5,864,3955,1.948,0.349242581448433,4185016,7498170
55,1010308,Замоскворечье,641,140,9,485,3,4,100,0,0,100,0,134,15814,2679,1414,4650,2289,10,3093.816,5668,0.74,0.261247211765232,4185116,7497227
56,1010309,Замоскворечье,1112,247,23,840,2,0,320,150,0,170,0,416,30174,5773,2539,9168,4387,9.45511420935166,5370.562,7973,0.817,0.328772781960319,4184204,7497961
57,1010310,Замоскворечье,546,196,0,350,0,0,0,0,0,0,0,77,18811,4238,1806,3738,2429,9.53649521256756,1114.212,8288,2.18,0.258343462155501,4185478,7495777
58,1010311,Замоскворечье,278,89,4,185,0,0,0,0,0,0,0,99,7481,3135,347,2262,724,7.64012915831116,415.088,1683,1.744,0.345076088324227,4186403,7496436
59,1010312,Замоскворечье,285,141,4,140,0,0,100,0,0,100,0,102,10529,2945,877,2322,1364,9.09056287308993,1595.25,4198,0.855,0.235446424718422,4185537,7496727
60,1010313,Замоскворечье,1049,233,10,803,3,0,151,0,0,151,0,310,22436,5262,1503,8154,3013,7.7183874676766,4468.18,8496,0.674,0.232409608629316,4184187,7496928
61,1010314,Замоскворечье,391,96,7,285,3,0,100,0,0,100,0,207,14378,3363,1238,3588,1936,8.68863728652283,1449,4798,1.336,0.309908756202977,4183139,7495703
62,1010315,Замоскворечье,144,38,5,97,4,0,218,0,0,218,0,108,11077,3025,1090,1512,1560,9.50633219934296,414,5272,3.768,0.27435807245867,4183896,7496116
63,1010316,Замоскворечье,376,54,0,322,0,0,199,0,0,199,0,70,7057,1310,512,2676,1157,6.67179017542204,3809.25,1953,0.304,0.200789622109419,4183126,7494904
64,1010317,Замоскворечье,306,61,5,240,0,0,0,0,0,0,0,116,9042,457,1009,2532,1431,6.82307497054991,3327.75,2678,0.43,0.238271656329351,4183670,7495135
65,1010318,Замоскворечье,508,73,20,415,0,0,22,0,0,22,0,259,17166,2304,1710,4602,2499,6.90185129082086,2677.246,6399,0.933,0.275334097379027,4184285,7495329
66,1010319,Замоскворечье,1001,136,5,858,0,2,700,0,0,700,0,192,18959,4752,1175,7158,3068,8.07817319517553,7681.43,6155,0.399,0.221733496284808,4184723,7495987
67,1010320,Замоскворечье,280,87,5,186,0,2,264,0,0,264,0,152,14266,3927,1291,2592,1987,6.15618217687429,736.856,4635,2.697,0.369890778903977,4184430,7499867
68,1010401,Красносельский,462,154,11,283,9,5,0,0,0,0,0,121,12860,2761,1100,3498,1683,8.41300269630785,1429.202,7178,1.178,0.195533926123728,4184557,7503095
69,1010402,Красносельский,21,21,0,0,0,0,0,0,0,0,0,0,17596,1104,2728,126,2749,10,0,3608,0,0.761917960088692,4186921,7505927
70,1010403,Красносельский,446,241,1,204,0,0,0,0,0,0,0,67,10074,470,1088,3078,1601,7.32354662878163,4047.75,3288,0.396,0.218246259755308,4187677,7506436
71,1010404,Красносельский,105,2,2,101,0,0,0,0,0,0,0,40,16217,3069,2046,870,2191,4.32732135160652,200.25,3694,10.941,0.562624382101817,4186282,7507426
72,1010405,Красносельский,200,89,4,107,0,0,0,0,0,0,0,25,6146,8382,0,1350,225,7.41827194331616,292.246,1389,0.77,0.133829314686845,4187852,7507325
73,1010406,Красносельский,279,134,0,145,0,0,0,0,0,0,0,35,6861,6620,0,1884,314,10,1993.5,1275,0.158,0.0960685329661924,4188289,7506658
74,1010407,Красносельский,329,214,0,115,0,0,0,0,0,0,0,0,13648,7277,733,1974,1062,8.38769786431398,1927.996,2291,0.551,0.251718655338853,4188565,7507187
75,1010408,Красносельский,524,82,7,435,0,0,0,0,0,0,0,88,10427,1363,899,3672,1511,8.00267023172251,2013.75,3709,0.75,0.264033899785942,4187522,7504555
76,1010409,Красносельский,428,149,2,277,0,0,100,0,0,100,0,109,9997,2419,726,3222,1363,5.29213837842293,5900.154,4740,0.231,0.128099649685521,4185553,7504907
77,1010410,Красносельский,502,254,2,243,3,0,100,0,0,100,0,166,11314,1357,992,4008,1760,8.23284246172215,3334.5,3764,0.528,0.2479397055716,4186149,7505332
78,1010411,Красносельский,635,129,27,479,0,0,251,0,0,251,0,269,18880,3907,1592,5424,2747,6.45824234476885,4310.294,3071,0.637,0.372156968683269,4185871,7505939
79,1010412,Красносельский,18,12,0,6,0,0,0,0,0,0,0,35,6628,12190,0,318,53,5.5,0,1555,0,0.0340836012861736,4189880,7506306
80,1010413,Красносельский,188,164,2,19,3,0,0,0,0,0,0,77,16158,1990,2096,1590,2361,10,0,5451,0,0.433131535498074,4187490,7505176
81,1010414,Красносельский,245,186,5,50,0,4,0,0,0,0,0,186,9478,7724,0,2586,431,6.4015285199766,1572.75,1484,0.274,0.140999427496524,4189454,7506739
82,1010415,Красносельский,409,167,4,238,0,0,0,0,0,0,0,216,9835,3145,490,3750,1115,5.07472837033391,3390.908,3024,0.329,0.173813872311185,4187201,7507483
83,1010416,Красносельский,487,87,0,400,0,0,80,0,0,80,0,25,11936,8810,9,3072,601,8.98909345138392,1879.25,2971,0.32,0.123911138601103,4188828,7506077
84,1010417,Красносельский,377,137,6,234,0,0,0,0,0,0,0,55,9586,1941,842,2592,1274,7.54187116870364,1084.764,4177,1.174,0.242124124153041,4188236,7505621
85,1010418,Красносельский,1450,63,11,1376,0,0,0,0,0,0,0,321,20881,3337,1153,10626,2924,9.32519352836446,2014.4,12866,1.452,0.196500094083492,4186530,7504660
86,1010419,Красносельский,1012,270,39,699,2,2,350,0,0,350,0,736,37119,7228,3234,10488,5332,10,4835,14801,1.103,0.271542065593807,4185142,7504158
87,1010501,Мещанский,378,142,0,236,0,0,190,0,0,190,0,131,23547,3718,2796,3054,3495,7.89648517509604,810.452,3409,4.312,0.828306614223838,4183070,7507122
88,1010502,Мещанский,71,45,0,26,0,0,0,0,0,0,0,29,11159,3553,1168,600,1268,8.2423134747291,0,1150,0,1.10260869565217,4183081,7508466
89,1010503,Мещанский,399,65,13,321,0,0,0,0,0,0,0,80,10155,1340,990,2874,1469,7.92170202792442,938.316,3367,1.566,0.341206081040277,4184867,7505329
90,1010504,Мещанский,409,113,2,292,0,2,0,0,0,0,0,99,10549,2010,915,3048,1423,9.47172686478983,2110.5,2844,0.674,0.287213644161873,4185006,7506068
91,1010505,Мещанский,696,171,9,516,0,0,0,0,0,0,0,110,12821,5567,403,4836,1209,8.56544757164892,3939.75,1526,0.307,0.221195627315556,4185201,7508364
92,1010506,Мещанский,912,361,9,541,0,1,50,0,0,50,0,190,18029,5075,1057,6612,2209,9.20016087877807,7209.856,2024,0.306,0.239228335377983,4184000,7508454
93,1010507,Мещанский,732,291,5,436,0,0,0,0,0,0,0,141,15737,4274,1038,5238,1911,8.70137641803618,5082.75,3695,0.376,0.217709549713765,4185286,7506676
94,1010508,Мещанский,923,251,25,643,0,4,150,0,0,150,0,373,16285,3021,915,7776,2361,6.13316502401677,9275.294,3049,0.255,0.191572839791066,4185234,7507525
95,1010509,Мещанский,99,99,0,0,0,0,0,0,0,0,0,69,10138,3494,939,1008,1107,10,0,759,0,1.45849802371542,4185105,7509087
96,1010510,Мещанский,507,88,11,408,0,0,100,0,0,100,0,143,12152,1525,1121,3900,1871,6.04466599602521,2121.12,4662,0.882,0.275831770630624,4183815,7507632
97,1010511,Мещанский,640,174,12,450,3,1,0,0,0,0,0,162,13893,3231,975,4812,1777,6.02630037259356,4941,3815,0.36,0.202946550936501,4184515,7507698
98,1010512,Мещанский,454,189,22,242,0,1,80,80,0,0,0,309,16810,2879,1559,4578,2402,9.47453192062429,1762.202,9313,1.363,0.216880920095182,4184099,7506621
99,1010513,Мещанский,1157,237,21,892,6,1,270,0,0,270,0,519,37637,8741,3140,10056,5086,7.95670957819261,8062.908,8114,0.631,0.314398771384495,4183702,7505626
100,1010514,Мещанский,453,173,2,278,0,0,429,0,0,429,0,51,14604,3501,1346,3024,2279,8.95519545347886,1855.044,5130,1.229,0.326268524579086,4183844,7504748
101,1010515,Мещанский,429,93,27,300,6,3,644,0,0,644,0,458,25969,5421,2538,5322,4069,8.43913748195469,3919.374,6682,1.038,0.383818173002858,4183905,7504072
102,1010516,Мещанский,379,76,7,289,7,0,0,0,0,0,0,59,11652,3348,946,2628,1384,9.93925955040831,443.062,10500,3.124,0.126472828171859,4183677,7502709
103,1010517,Мещанский,395,137,10,247,1,0,40,0,0,40,0,89,11628,3266,910,2904,1434,7.07492254213779,382.5,8057,3.749,0.169915279341193,4183739,7503375
104,1010601,Пресненский,675,146,20,509,0,0,180,0,0,180,0,274,20622,3087,1974,5694,3103,5.46272345026611,4781.43,5081,0.649,0.314628342102301,4180201,7503317
105,1010602,Пресненский,295,90,11,187,7,0,0,0,0,0,0,136,12917,5118,869,2586,1300,7.47939763923908,1667.25,3629,0.78,0.245456691054992,4178817,7501893
106,1010603,Пресненский,612,139,10,459,3,1,80,0,0,80,0,147,20031,3796,1947,4554,2786,5.48185896498048,4255.522,4577,0.655,0.315425197921953,4180696,7502663
107,1010604,Пресненский,640,172,15,445,8,0,263,50,0,213,0,183,22684,4879,2144,4938,3230,5.98497295086215,2405.084,6910,1.343,0.346749422764196,4181365,7502224
108,1010605,Пресненский,169,55,18,89,7,0,64,0,0,64,0,84,9472,3183,795,1518,1112,6.80319735355129,1438.452,4217,0.773,0.196624425421699,4181228,7501517
109,1010606,Пресненский,725,217,35,464,9,0,150,0,0,150,0,540,32897,7273,3006,7590,4421,6.47134479458417,5792.338,7558,0.763,0.331152664449394,4179996,7502078
110,1010607,Пресненский,1005,126,6,873,0,0,0,0,0,0,0,158,16084,1289,1303,6978,2466,5.84898659703089,6268,3127,0.393,0.262480042575838,4178945,7503742
111,1010608,Пресненский,19,8,2,9,0,0,0,0,0,0,0,61,7661,1457,954,480,1034,7.84189519070104,0,1940,0,0.532989690721649,4178325,7503000
112,1010609,Пресненский,283,29,4,247,3,0,140,0,0,140,0,150,10190,2059,922,2598,1495,6.26498348591745,2846.25,1309,0.525,0.359785813127971,4178213,7503810
113,1010610,Пресненский,442,64,6,362,10,0,612,0,0,612,0,175,12676,2083,1148,3702,2377,7.10593536198912,2529.198,4583,0.94,0.334214542396036,4179781,7504162
114,1010611,Пресненский,525,109,6,410,0,0,0,0,0,0,0,123,12365,2010,1078,3888,1726,8.25828782782614,6018.75,3965,0.287,0.17288093151371,4179124,7504876
115,1010612,Пресненский,634,122,6,504,0,2,320,0,0,320,0,51,13010,1626,1212,4110,2217,5.7027643730902,5273.294,2164,0.42,0.298092290018386,4177437,7503845
116,1010613,Пресненский,370,120,8,242,0,0,0,0,0,0,0,78,11570,1374,1251,2688,1699,6.29143481217202,5927,3530,0.287,0.17965528180184,4177058,7504920
117,1010614,Пресненский,1228,232,18,978,0,0,170,0,0,170,0,245,23637,4449,1725,8838,3368,6.252819977137,9081.544,4270,0.371,0.252255469479784,4178203,7504519
118,1010615,Пресненский,708,118,8,580,0,2,0,0,0,0,0,134,15281,2996,1206,5052,2048,7.30820704456723,4468.452,4404,0.458,0.230826833439054,4177517,7503100
119,1010616,Пресненский,255,89,0,159,5,2,0,0,0,0,0,160,11071,2988,932,2490,1347,9.33500751198487,1041.75,3269,1.293,0.312474627385026,4176640,7503868
120,1010617,Пресненский,592,89,2,501,0,0,0,0,0,0,0,161,44683,36557,601,4518,1354,8.40456342886031,3998.25,5988,0.339,0.135586431343097,4175206,7504079
121,1010618,Пресненский,464,87,0,377,0,0,0,0,0,0,0,17,13777,34121,0,2886,481,7.3215404716088,348,2506,1.382,0.168535388927821,4173296,7502465
122,1010619,Пресненский,335,47,4,284,0,0,29,0,0,29,0,231,13855,30734,0,3396,595,6.42907249516979,3107.25,1206,0.191,0.137947023706022,4174359,7503126
123,1010620,Пресненский,1033,192,7,832,0,2,800,0,0,800,0,280,26701,31191,0,7878,2113,6.09899239657538,8115.75,2534,0.26,0.198408413343036,4174106,7502141
124,1010621,Пресненский,571,78,0,493,0,0,200,0,0,200,0,133,16302,3408,1445,4224,2349,5.33390989082108,5640.75,2745,0.416,0.280118057418835,4175105,7502636
125,1010622,Пресненский,937,128,0,809,0,0,0,0,0,0,0,68,16950,6795,688,6030,1693,10,7353,1874,0.23,0.183483255662729,4172140,7501922
126,1010623,Пресненский,580,220,9,351,0,0,927,0,0,927,0,73,34762,37731,0,3918,1580,9.95715196536334,11448.772,13549,0.138,0.0632056328860028,4172765,7500531
127,1010624,Пресненский,795,152,4,639,0,0,898,0,0,898,0,270,19351,4079,1480,6390,3443,5.98992778347692,5224.5,4859,0.659,0.341448901671047,4175920,7502646
128,1010625,Пресненский,296,161,2,128,5,0,0,0,0,0,0,60,16904,2877,1982,2136,2338,6.16668988932041,0,6188,0,0.377828054298643,4175813,7501182
129,1010626,Пресненский,410,81,2,327,0,0,170,0,0,170,0,156,13609,2257,1326,3396,2062,6.52825211677427,4324.5,1872,0.477,0.33276849834584,4175723,7501860
130,1010627,Пресненский,966,209,15,742,0,0,360,0,0,360,0,397,32522,5870,3079,8178,4802,6.38995453592174,6135.25,7394,0.783,0.354934678566809,4177021,7502316
131,1010628,Пресненский,369,26,6,335,0,2,400,0,0,400,0,91,12345,3060,1088,2760,1948,6.74850787388533,1795.5,3339,1.085,0.379394293504723,4177048,7501472
132,1010629,Пресненский,564,105,5,451,3,0,40,0,0,40,0,148,21683,7273,1690,4272,2442,9.29647255366662,2863,4993,0.853,0.310845213849287,4178056,7501803
133,1010630,Пресненский,401,98,2,301,0,0,0,0,0,0,0,46,17092,2522,1981,2682,2428,9.11901822468519,1258.522,5508,1.929,0.35882540542985,4179211,7503023
134,1010631,Пресненский,367,85,0,272,10,0,0,0,0,0,0,16,9063,1286,913,2298,1296,8.14170373081373,7681.5,6081,0.169,0.0941689373297003,4174960,7500603
135,1010632,Пресненский,474,67,0,405,0,2,3000,0,0,3000,0,57,15076,1086,1801,3186,5332,5.92805901239125,3378.926,2549,1.578,0.899471417153318,4174610,7501383
136,1010633,Пресненский,107,17,1,89,0,0,0,0,0,0,0,1,7889,27995,0,648,108,7.36636141281175,909,3202,0.119,0.0262709802967648,4173814,7501122
137,1010634,Пресненский,131,78,0,49,0,4,0,0,0,0,0,0,7473,2370,720,786,851,7.98838852324164,1852.2,4766,0.459,0.128584811580188,4173570,7500701
138,1010635,Пресненский,191,164,0,12,15,0,0,0,0,0,0,17,8170,31082,0,1248,208,9.16504181172605,3150,17173,0.066,0.0102347094425036,4173925,7500420
139,1010636,Пресненский,239,85,0,130,24,0,0,0,0,0,0,0,25207,32973,0,1434,239,10,2230.2,25924,0.107,0.00848896434634975,4174139,7499900
140,1010701,Таганский,365,188,4,168,5,0,0,0,0,0,0,88,16914,5703,1416,2718,1869,10,112,4545,16.688,0.401331329181877,4185128,7500473
141,1010702,Таганский,494,86,13,395,0,0,0,0,0,0,0,267,14734,3034,1189,4566,1950,6.39848503354569,4455,1630,0.438,0.320460147904684,4189459,7496765
142,1010703,Таганский,139,35,4,98,0,2,0,0,0,0,0,51,7580,2909,588,1140,778,5.935982681198,82.544,777,9.425,0.905131092765466,4187481,7496133
143,1010704,Таганский,225,75,10,135,4,1,166,0,0,166,0,130,13525,3900,1249,2130,1770,6.47368656733384,1481.338,1873,1.195,0.527674909326371,4185930,7500647
144,1010705,Таганский,231,86,7,138,0,0,80,0,0,80,0,71,12758,3403,1257,1812,1639,5.67746117627204,1639.224,3505,1,0.318609765049111,4186769,7500763
145,1010706,Таганский,308,190,2,116,0,0,0,0,0,0,0,129,14232,3674,1323,2622,1760,7.78791426870905,1671.75,2676,1.053,0.404807084123972,4187541,7500894
146,1010707,Таганский,235,80,3,152,0,0,100,0,0,100,0,107,10713,4873,631,2052,1073,6.69388213635985,470.636,1553,2.28,0.530233698155202,4188231,7500532
147,1010708,Таганский,573,138,6,429,0,0,0,0,0,0,0,80,18072,6513,1274,3918,1927,6.7867081391104,2202.75,2292,0.875,0.428722398353635,4187752,7500077
148,1010709,Таганский,356,52,2,302,0,0,100,0,0,100,0,92,13758,4614,1076,2688,1624,8.12524202209919,735.11,5655,2.209,0.254142729937356,4186661,7499552
149,1010710,Таганский,311,67,0,244,0,0,0,0,0,0,0,96,10261,3763,676,2442,1083,6.51878821871373,1233.772,1882,0.878,0.347586408761617,4186691,7500125
150,1010711,Таганский,829,209,9,606,5,0,50,0,0,50,0,141,22124,4893,1902,5820,2922,9.13874936854736,3830.658,4466,0.763,0.352190002287668,4186307,7498724
151,1010712,Таганский,749,246,16,480,2,5,0,0,0,0,0,99,19199,3306,1801,5088,2649,9.13644607183799,5104.61,2222,0.519,0.361558756368907,4186680,7497702
152,1010713,Таганский,334,110,4,220,0,0,0,0,0,0,0,149,14616,2778,1490,2898,1973,6.87371667438891,1269,1269,1.555,0.777383766745469,4187057,7496838
153,1010714,Таганский,823,324,4,495,0,0,0,0,0,0,0,105,15720,3658,1082,5568,2010,10,1329.75,3802,1.512,0.39167925171725,4187253,7498131
154,1010715,Таганский,387,124,3,250,10,0,0,0,0,0,0,103,6869,1993,323,2940,813,9.81679004813964,1865.25,1924,0.436,0.214554331332058,4187683,7498352
155,1010716,Таганский,246,51,16,179,0,0,200,100,0,100,0,94,9509,1301,1028,2040,1568,7.83608768953599,698.272,2682,2.246,0.46386799642159,4187683,7498753
156,1010717,Таганский,439,160,5,272,0,2,75,0,50,25,0,166,12421,2255,1089,3630,1769,7.72728381295424,756,2901,2.34,0.483729833196609,4187306,7499367
157,1010718,Таганский,422,46,5,369,0,2,0,0,0,0,0,139,8377,1673,556,3366,1117,6.09762692055931,421.522,2303,2.65,0.40998017266882,4187907,7499515
158,1010719,Таганский,342,81,4,257,0,0,0,0,0,0,0,256,11775,1809,1063,3588,1661,6.43242132407064,3817.658,2536,0.435,0.261424206339088,4188349,7499206
159,1010720,Таганский,757,221,7,529,0,0,0,0,0,0,0,104,13745,2639,990,5166,1851,6.8772626155576,4113.772,3750,0.45,0.235383223216543,4188486,7497884
160,1010721,Таганский,597,394,5,198,0,0,40,0,0,40,0,203,12940,2377,960,4800,1800,9.55081813720429,4845.408,2219,0.371,0.254798420476281,4189228,7499479
161,1010722,Таганский,334,138,2,192,0,2,0,0,0,0,0,82,16603,5101,1501,2496,1917,10,83.316,2638,23.009,0.704438587800902,4189259,7500046
162,1010723,Таганский,612,502,0,110,0,0,380,0,0,380,0,50,12487,2278,1040,3972,2082,6.53924411790371,5420.25,1306,0.384,0.309533543950938,4189639,7498546
163,1010724,Таганский,660,299,5,356,0,0,0,0,0,0,0,118,13781,3418,949,4668,1727,10,5100.75,2666,0.339,0.222358129204622,4190086,7499337
